火	水	風	土	光	闇	MAP名
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ９
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ１
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ２
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
50	70	50	50	50	50	古代都市タティリス遺跡　Ｂ４
70	70	90	90	90	90	古代都市タティリス遺跡　Ｂ５
70	70	60	60	60	60	古代都市タティリス遺跡　Ｂ６
100	100	50	50	50	50	古代都市タティリス遺跡　Ｂ７
80	80	80	80	80	80	古代都市タティリス遺跡　Ｂ８
70	70	70	70	70	70	古代都市タティリス遺跡　Ｂ９
